Gene.symbol logFC
TNFSF9 1.28
ULBP2 1.10
MED4 -1.14
OIP5-AS1 -1.15
ITGA4 1.26
TRIM2 -9.89e-01
MSX2 -9.39e-01
RHOU -1.24
MIR10A 9.37e-01
VANGL1 1.08
COL1A1 1.26
LOC101060363///PPIA -8.92e-01
BLVRB -1.23
IL7R 1.32
JAG1 1.43
PAPPA 1.06
ARMCX2 -9.70e-01
COL6A2 1.11
PRKG1 -1.33
SNORD68///RPL13 -9.79e-01
EGFR 9.97e-01
GAS7 -1.17
SLC1A4 1.31
PKIB -1.44
ISG15 -1.14
RNF217 -1.02
AFF3 1.57
THBS1 1.05
KANK4 -2.86
LOC101927705///P4HA2 8.62e-01
ATP6V1A -9.49e-01
P2RX5 9.41e-01
SSBP2 -1.01
SLCO2A1 1.61
TRIM2 -1.14
ELL2 -1.21
WDFY2 9.66e-01
IREB2 -1.02
NUP62 1.11
ATP5F1 -1.10
CHST3 1.13
F3 1.17
RPS6KA3 -1.17
IL1RAP 9.94e-01
NAMPT -1.00
RPL17-C18orf32///SNORD58C///SNORD58A///SNORD58B///RPL17 1.73
MAPK6 -1.02
SOCS2 -1.10
MICA///MICB 1.10
SMIM14 -1.38
CAST -1.08
TRIO 1.17
DPP10-AS1 -1.40
ITPR3 9.92e-01
CKAP4 9.28e-01
FDCSP 1.78
FBN2 9.08e-01
SAMHD1 -1.11
SMARCE1 -1.67
PARP9 -1.07
GPRC5A 1.34
NPTXR 9.53e-01
TPM1 1.76
LOC100507140 2.16
EIF2S1 -9.23e-01
CA2 -1.12
EBF2 -1.43
TNC 1.00
FAT1 8.58e-01
SMAD9 -1.00
RRBP1 1.09
LDLR 1.03
INHBE 1.69
FJX1 1.70
LTBP2 9.20e-01
LOC727820 8.45e-01
COL16A1 1.58
ANKRD11 9.41e-01
PRDX5 -1.04
SIGMAR1 9.87e-01
S100A16 8.92e-01
PLN 1.07
ATP13A2 1.47
LOC102725271///NTM 1.08
INF2 1.37
CHURC1 -1.30
PRDX5 -1.21
ITGB3 1.06
HTRA1 9.12e-01
SLC29A1 1.43
CLIP3 -1.38
MIR4680///PDCD4 -1.74
TMEM206 8.65e-01
TGFB2 1.37
SRSF8 -8.85e-01
TMEM176A -1.19
RBM22 -1.12
PSMA2 -8.69e-01
GADD45B 9.24e-01
DCUN1D4 -1.03
TNFRSF9 1.57
PDK3 -1.15
NMNAT2 -2.77
ERAP1 -9.00e-01
RPRD1A -9.48e-01
MAN2A2 9.28e-01
JAG1 1.38
NAPG -8.53e-01
SLC15A4 9.41e-01
LOC100996843///KCNJ18///KCNJ12 9.48e-01
SDC1 9.29e-01
MIR4647///SLC35B2 8.32e-01
RNGTT -1.25
NDUFB10 -1.22
MIR4738///H3F3B///H3F3A -1.36
RHOT1 -8.83e-01
RAB3D -1.07
SLC2A14///SLC2A3 8.18e-01
GRAMD1C -1.01
FAM46A -1.10
ANXA3 1.16
CXCL8 1.13
PXDN 9.95e-01
TNFAIP6 2.08
PSMD12 -9.16e-01
CDC14B 1.45
CNFN -2.45
VCAN 8.56e-01
TAP2 1.23
DNM3 9.53e-01
MON1B -8.31e-01
NT5DC1 -1.10
FLT1 -8.96e-01
IGF2R 1.00
PAX8-AS1 1.85
LOC100505984///ITGB6 2.49
RBM8A -9.75e-01
LHFPL2 1.39
C5orf51 -8.38e-01
PDE5A -1.27
CD44 1.01
S100A4 -8.17e-01
ANTXR2 1.36
NOTCH2 1.44
COL12A1 1.05
IGFBP3 9.05e-01
DNPEP 9.48e-01
FAM76A -1.91
HMGN4 -9.84e-01
GMFB -1.03
KNL1 9.37e-01
SMIM14 -1.15
MAGOHB///MAGOH -9.14e-01
ZMAT3 -1.33
COL13A1 1.34
WDR74 1.21
IGHM///IGHG1///IGHA1 -1.21
ECHDC1 -9.37e-01
SSX2IP -1.18
CD70 9.80e-01
MAN2A1 9.70e-01
ZFAS1 1.22
DCBLD2 7.99e-01
TAGLN 1.36
TRIM11 1.07
DAG1 9.77e-01
HAPLN1 1.26
PPP1R3E 1.02
ICAM1 8.82e-01
RRP15 -1.04
PLPPR5 -1.40
HMGN4 -8.99e-01
CDCP1 1.01
SLC44A2 1.17
SPPL3 8.16e-01
DYNC1I2 -1.09
LAMC1 8.36e-01
PVR 1.06
SEL1L2///GPR37 8.68e-01
PLOD1 8.40e-01
SOX5 -8.82e-01
RPS24 1.11
NLRP6 2.09
SEMA3G 2.69
ATP2A2 8.36e-01
VAT1L -1.47
COL5A1 8.94e-01
COL7A1 9.19e-01
ETFB -1.19
EIF2S2 -1.51
TNFAIP3 8.22e-01
RHOQ -1.29
SHE -1.06
ID1 -8.83e-01
TMEM185B 9.10e-01
KIR2DS5 1.13
EPHB2 1.10
PLOD2 8.03e-01
PTPRF 1.46
UBIAD1 9.02e-01
DERL1 -8.79e-01
TRAPPC5 -7.92e-01
DPYD -1.40
CCDC158 -2.99
PRICKLE1 -1.09
ZNF688 2.09
STC2 1.18
PPP2R1B -9.55e-01
LINC00488 2.92
CLDN1 2.06
GPIHBP1 2.64
SLC16A6 1.11
PIK3R3 -9.16e-01
ADAM10 8.15e-01
FZD1 8.41e-01
ITGA4 1.55
SEMA3A 9.14e-01
ASPH 1.16
UGCG 1.21
GABARAP -8.54e-01
TRPS1 -9.56e-01
PDE4B -1.03
TEK 1.63
U2SURP 1.14
FBXL5 -1.07
CHRM3 -1.04
SOX2 -1.33
GGCX 8.75e-01
MYH9 9.41e-01
RPS15A 1.27
PAFAH1B2 -9.59e-01
SGPL1 1.22
HDAC6 -1.98
MIR424///MIR503HG 9.13e-01
RORB -9.14e-01
YARS 1.23
INIP -8.38e-01
ATP5L -1.54
PDE4B -8.74e-01
TMEM234 1.17
HHIP 2.90
PPP1R3E 9.59e-01
SPACA6 9.51e-01
TREML3P 2.53
DCAF6 -7.65e-01
TGFB2 1.37
EIF4B -8.08e-01
SLC7A1 7.66e-01
MIR124-1///LINC00599 -1.62
VEGFA 9.41e-01
CAB39 -9.45e-01
THBS1 1.29
TRIO 7.87e-01
ATP5F1 -8.25e-01
CTNS 1.05
HS1BP3 2.45
H2AFV -8.96e-01
HNMT -1.02
DNAJA2 -1.15
PCSK5 9.05e-01
CAMK2N1 -7.99e-01
RASGRP2 2.46
ARG2 -8.14e-01
COL4A2 8.73e-01
MSX2 -1.10
IGF2R 9.01e-01
MIA -8.92e-01
SNORD77///SNORD76///SNORD74///GAS5///SNORD44///SNORD47///SNORD80///SNORD79///SNORD81 9.30e-01
MACF1 9.48e-01
VCAN 8.86e-01
RPL22 -9.99e-01
TMEM245 9.00e-01
C2CD2 9.42e-01
FCF1 -8.83e-01
SH3BGRL -9.77e-01
MSLN -1.63
KRT17///JUP 1.35
TMEM33 9.94e-01
RPL15 -1.06
ZNF703 -1.03
DHRS3 1.14
SLC17A6 -2.67
EBF1 -8.00e-01
MICA 1.23
GALNT2 8.72e-01
MIR17HG///MIR92A1///MIR20A///MIR19B1///MIR19A///MIR18A///MIR17 1.38
GPAT3 8.60e-01
GNG2 -1.11
DDX51 1.24
CPA4 1.71
PLXNA1 9.32e-01
TMEM201 1.10
EPHB2 1.22
CD44 1.13
UXS1 9.56e-01
TCEAL2 -9.85e-01
IFITM3 -1.08
PLEC 1.10
DDX60 -1.22
CASP2 -1.87
NRP2 1.30
MGC2889 -2.55
VCAN 7.50e-01
COL5A2 9.93e-01
SLC38A7 9.49e-01
SLC45A3 8.33e-01
FAM160B2 1.78
LOC101928955 1.46
PAPPA 1.17
CALM3///CALM2///CALM1 9.85e-01
CRELD1 8.23e-01
GAS2 -1.75
MYADM 9.04e-01
GADD45A 8.12e-01
HIST2H2BE -1.08
PEG3 -8.82e-01
ICAM1 9.36e-01
PBX1 -8.98e-01
HDHD2 -7.79e-01
FAM49B -1.04
FGFR1 1.01
SREK1 1.15
CCDC150 2.38
TIE1 1.32
SNX4 -9.01e-01
ANAPC16 -9.82e-01
COMMD2 -1.26
KCNN4 1.01
SUCLG2 -9.23e-01
IL6ST -8.03e-01
GALNT2 8.42e-01
AFF4 -1.06
EMP1 7.96e-01
LOXL2 1.48
PITPNA -9.66e-01
EZR 7.53e-01
EZR 8.21e-01
PIK3R1 -1.03
ISCU -9.32e-01
EPS15 -8.65e-01
GALNT1 -1.64
COCH 7.70e-01
GSN -1.40
TPM3 -9.61e-01
IFITM1 -1.86
DNAJC12 -1.05
SCARB1 8.98e-01
EIF2S3 -9.43e-01
XPNPEP3 -1.02
TNFAIP6 1.41
RHOB -8.04e-01
CHST7 1.07
SLC11A2 7.87e-01
EPHB2 1.24
CAB39 -1.18
TTC3P1///TTC3 -7.84e-01
FOS -1.88
NFIA-AS2 2.08
CXCL8 1.55
CALD1 8.24e-01
IGFBP7 1.02
F2R 1.06
SPTBN1 3.03
NOTCH2 1.01
GART 9.73e-01
DKK3 8.80e-01
DBT -9.62e-01
SLC39A10 -8.79e-01
BZW1 -8.23e-01
TRIB2 -7.42e-01
RALA -8.30e-01
MYADM 1.08
PDE3A -1.09
DERL2 8.05e-01
NUCKS1 -1.25
FASN 8.73e-01
SLC7A6 1.08
PSMD10 -8.32e-01
ZNF302 8.13e-01
LTBP1 7.87e-01
PMEPA1 9.70e-01
ZNF821 -1.06
CD44 1.37
RGMB 1.09
CCND1 9.82e-01
MANEAL 8.52e-01
TMEM203 -7.73e-01
MROH1 8.06e-01
EGFR 9.36e-01
SSPN -9.01e-01
ETV1 -9.99e-01
EIF4G2 -7.89e-01
LPL 9.08e-01
LRP8 8.72e-01
HIST1H2AC -8.44e-01
PANX1 1.08
SLC11A2 1.02
DERL1 -8.00e-01
LRP5 9.60e-01
PLEKHA6 -2.36
KRT12 2.72
TMEM51 1.10
PTPRD 1.02
LAPTM5 8.78e-01
ALDH3A2 -8.23e-01
NFIA -8.09e-01
EPHA4 -1.43
SLC39A14 8.67e-01
PTPRF 1.33
RBM7 -9.13e-01
CLPTM1L 7.16e-01
PANX1 9.67e-01
TPM1 1.73
HAS2 1.07
MRPL10 -1.35
CACHD1 1.11
CASZ1 2.86
SPTSSA -9.19e-01
UCHL1 1.07
PDLIM5 -8.60e-01
CXCR4 1.24
PPP1R2 -9.49e-01
NUMA1 1.30
TNFAIP2 7.42e-01
PTPRD 8.06e-01
XPNPEP3 -8.04e-01
ESYT1 7.69e-01
METTL9 -1.20
KIF5C -8.18e-01
TNFRSF9 1.28
UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10 1.42
KIRREL 7.49e-01
FRAS1 7.64e-01
EGR1 -9.20e-01
ISOC1 -1.08
STEAP3 9.13e-01
TFPI 1.02
OSBPL10 -9.93e-01
TOX4 -8.73e-01
USH1C 8.89e-01
EZR 7.99e-01
MIR1282///HYPK///SERF2 -8.79e-01
GLIPR1 9.68e-01
PHC2 1.25
SSBP2 -1.01
FADS3 1.24
SPCS3 8.58e-01
CCDC80 1.07
TFPI 1.19
PRICKLE1 -8.48e-01
PLBD2 8.38e-01
CBFB -8.80e-01
FAM193B 8.23e-01
SLC29A1 1.19
VAPB -8.38e-01
LAMTOR3 -1.04
CYP1B1 1.22
PRPF6 -8.44e-01
RRAGD -7.82e-01
RGS2 -9.08e-01
RAB27A -8.86e-01
MSRB2 -9.57e-01
JAG1 1.28
LOC101060275///NPIPA5///NPIPB5///NPIPB11///LOC613037///NPIPB4///NPIPB3 8.38e-01
LPCAT4 8.27e-01
CCND1 1.05
TMEM45A 7.50e-01
TMEM167A -1.56
ANTXR2 8.40e-01
MIR6756///MCAM 1.01
MIR6758///MARS 1.33
VAMP7 -7.99e-01
EMP1 9.29e-01
JDP2 9.09e-01
PLXNA2 1.06
STMN3 -7.95e-01
TPM1 9.14e-01
CLCN7 8.89e-01
MIR424///MIR503HG 1.55
LOC101930075///NPIPA8///NPIPA7///NPIPA5///NPIPA2///NPIPA3///PKD1P1///NPIPA1 1.20
PHACTR2 -9.57e-01
PHLDA1 -9.72e-01
UGT1A1///UGT1A4///UGT1A9///UGT1A6///UGT1A8///UGT1A10 1.07
SC5D 7.01e-01
ACKR3 1.30
BANCR -2.11
MIR7110///PDIA5 7.82e-01
IFNGR1 7.39e-01
GPR107 7.40e-01
GUCY1B3 -7.36e-01
CCDC71L -9.76e-01
RPS6KA3 -7.91e-01
CCL7 1.07
DCBLD2 9.33e-01
ENTPD6 9.02e-01
SDHC -9.24e-01
SLC2A1 1.13
ICAM1 9.24e-01
EIF4B -1.17
HGFAC 2.08
CERS2 7.77e-01
LOC101927760 2.60
CD109 8.00e-01
VMA21 -9.65e-01
AGPAT5 -1.16
SLC2A6 1.60
AMFR 7.50e-01
LYRM7 -8.35e-01
MBOAT1 1.01
PRR5L -1.05
MFGE8 1.14
SKP1 -7.47e-01
RAN -7.55e-01
PGM2L1 -6.95e-01
ZNF277 -7.22e-01
CA12 7.45e-01
MAOA -7.66e-01
PNMAL1 -8.99e-01
LINC00342 6.96e-01
HSDL2 -1.14
SDHC -1.02
EPHA4 -9.94e-01
KIF25 8.95e-01
KBTBD8 8.18e-01
LINC00326 -1.04
RAB39B -2.14
NAMPT -9.97e-01
PAFAH1B1 -8.57e-01
TWSG1 -7.96e-01
SDF4 1.15
KATNBL1 8.11e-01
CD274 9.49e-01
LEMD2 7.47e-01
IL1R1 -1.06
RPS21 -9.67e-01
PIK3R1 -1.33
NOTCH2 7.97e-01
LOC100996693///SPEG 2.19
AGGF1 -1.04
ITGB3 1.20
SENP3 8.15e-01
UQCRC2 -7.15e-01
FAM20C 9.40e-01
LSAMP 1.70
PAPPA 1.46
PTPDC1 8.92e-01
TOR4A 1.35
SLC7A1 9.78e-01
BZW1 -8.66e-01
UBE2L6 -8.06e-01
MPC2 -9.07e-01
GLIPR1 1.05
PORCN 7.25e-01
KRT79 1.68
AAGAB -1.70
SCRN3 -7.48e-01
SCP2 -7.75e-01
C5orf24 -8.35e-01
FAAP20 -7.89e-01
DCBLD1 8.40e-01
CHMP1B -9.20e-01
CSPG5 1.54
DSG2 7.96e-01
CAPN15 8.35e-01
SNX3 -9.62e-01
NDUFB10 -9.21e-01
TMEM246 7.96e-01
ACP5 8.78e-01
LOC101929829///CYP2D6///CYP2D7 9.61e-01
JADE2 2.84
COX8A -6.96e-01
BEX2 -8.34e-01
SPAG9 -7.52e-01
MCTS1 -7.33e-01
TRNP1 -8.53e-01
UBE2D3 -7.22e-01
SLC35G2 7.77e-01
SAT1 7.94e-01
NUCKS1 -7.31e-01
NACA 6.96e-01
SAR1B -9.51e-01
ENAH -8.12e-01
CCND2 -1.18
NFIA -9.72e-01
CHST14 1.03
PDE5A -1.02
C3 1.11
IDH1 -1.88
CYR61 9.07e-01
POLDIP3 -8.18e-01
SNORA16A///SNORA61///SNORA44///SNHG12 1.05
TROVE2 -1.05
NUP210 9.51e-01
TMEM144 8.77e-01
LMO7 1.77
GABARAPL2 -8.51e-01
COPA -9.36e-01
LOC286191 -2.29
POMT2 1.09
VAV3 -1.18
GAREM1 -8.26e-01
CALM1 -1.22
CEMIP 1.28
ATP8B3 7.56e-01
SLC25A29 1.00
NCBP2 -6.77e-01
PET100 -8.13e-01
IL4R 8.92e-01
HBS1L 1.19
MEGF10 1.15
LOC100505817 1.11
DIP2A 7.08e-01
ARHGEF37 1.34
PCMTD1 -8.07e-01
CNTNAP2 -7.84e-01
IFITM2 -1.20
FAM98B -7.44e-01
PAWR 1.05
NRG1 1.03
YTHDF3 -7.45e-01
PAGE1 8.69e-01
GPC4 7.08e-01
RNF150 8.07e-01
MET 7.04e-01
SLC35D1 8.22e-01
SDHC -8.49e-01
SLC40A1 -1.05
LNPEP 7.64e-01
FKBP7 -8.00e-01
LTV1 8.14e-01
MRPS30 -6.89e-01
NREP 9.39e-01
GATA2-AS1 -1.31
MRPL48 -7.55e-01
IRX1 -1.17
IGKC 3.23
SMC4 1.03
NDN -8.37e-01
CELSR1 8.70e-01
SMARCE1 -7.43e-01
MIR24-2///MIR23A///LOC284454 9.25e-01
WAC 8.65e-01
SEPT2 -6.87e-01
SNORD68///RPL13 1.51
PDXK 8.09e-01
GAD1 9.66e-01
PDE3A -1.06
ARHGAP12 -9.63e-01
C4orf3 -1.11
GPR137 1.93
STMN1 -8.63e-01
LLPH -1.02
PPP2R5E -9.22e-01
TTC28-AS1 -1.24
ASPH 9.96e-01
RCN3 8.34e-01
HMGB1 -1.06
KIAA0319L 6.90e-01
PCED1A 9.91e-01
RTN1 -9.48e-01
SLC6A6 7.41e-01
NFE2L1 7.40e-01
MIR1282///HYPK///SERF2 -7.25e-01
RAP2C -7.52e-01
PLEKHA4 -2.67
LOC100505984///ITGB6 2.60
PLA2G2F 1.50
ST13 -7.18e-01
PEX13 -7.86e-01
PATJ -8.13e-01
PIK3C3 -7.58e-01
HBEGF 1.49
HFE 7.68e-01
IER2 -7.17e-01
FBXO28 -6.90e-01
RASGRP1 1.56
ENY2 -9.20e-01
PDHA2 1.10
DAG1 7.68e-01
HSPA4 -7.72e-01
LOC101929500///CRIM1 7.82e-01
FGFR1 1.01
CCDC117 -8.51e-01
KMT2B 8.68e-01
MPZL1 7.26e-01
HOTAIRM1 7.20e-01
IFITM2///IFITM1 -1.80
MRPS10 -7.17e-01
CXXC4 -9.76e-01
POLDIP3 -9.00e-01
LDLR 1.18
VEGFA 7.18e-01
CTTNBP2NL -6.90e-01
PCBP2 8.72e-01
URGCP 8.74e-01
GLYR1///SEPT6 -9.32e-01
PLPP6 -8.23e-01
MAGED2 -8.89e-01
NAV1 1.32
PLS1 -9.52e-01
SAMHD1 -1.31
EIF3C 7.62e-01
GPR89A///GPR89B 7.29e-01
DUSP6 -6.87e-01
VNN1 2.00
LOC202025 1.14
WNT9A 2.38
CALD1 1.32
PHYH -7.85e-01
NCAM1 1.12
OCLN 7.64e-01
PSMD10 -8.43e-01
ID4 -8.92e-01
SKP1 -7.14e-01
COL18A1 8.89e-01
TBC1D8 1.04
AKR7A2 -7.63e-01
RBM25 1.00
SCP2 -6.55e-01
DHFR -7.03e-01
DAZAP2 -8.30e-01
ABI1 -7.66e-01
BAIAP2-AS1 -7.54e-01
NAV3 1.31
SVIL 8.29e-01
NCEH1 1.11
CAV1 9.06e-01
LRPPRC -1.26
SYTL1 -8.75e-01
HIST1H1C -8.03e-01
SSPN -1.10
GPR63 1.29
CLCN6 8.55e-01
SLC1A4 1.04
SLC2A3 1.09
CEP152 1.13
TMEM87A 7.21e-01
PPA1 -7.02e-01
FGFR4 1.35
SLC12A8 9.33e-01
FIGN -7.87e-01
NUDT21 -8.97e-01
ZNF17 -1.07
SLC11A2 9.41e-01
TOR1B 8.30e-01
LACTB 7.74e-01
MAP1B 8.75e-01
CTNNB1 1.03
BOC -7.65e-01
NOV 9.50e-01
GJA9-MYCBP///MYCBP -6.76e-01
ABCB6 9.31e-01
DSC2 7.57e-01
TMEM129 7.20e-01
SMAD7 8.85e-01
EAPP -6.48e-01
CDKN2A 1.96
GFRA1 2.00
IRF2BP2 -8.92e-01
DIRC2 8.22e-01
ACOT13 -7.01e-01
RCN3 6.87e-01
SESN3 -1.50
LOC107984534 9.45e-01
CUL5 -7.31e-01
SLC43A3 8.56e-01
NFE2L1 7.26e-01
C21orf91 -9.23e-01
ATP5H -6.85e-01
IGFBP3 6.80e-01
WNT5A 8.00e-01
CYBB 2.45
ZYX 8.04e-01
NOS3 1.83
TMED8 -6.99e-01
MAP2 -1.69
SAR1A -8.00e-01
TENM4 7.85e-01
CLDN23 1.27
TSPAN2 7.37e-01
EGR1 -1.07
LGALS8 -8.96e-01
HOTAIRM1 6.74e-01
CDS2 9.50e-01
WFDC2 -9.29e-01
ZNF416 -9.66e-01
EDEM3 6.96e-01
MRPS36 -6.65e-01
TM6SF1 7.19e-01
ABAT -1.47
FLNC 8.67e-01
RBM18 -9.35e-01
DOT1L 1.33
DDX28 -1.04
MYO10 7.93e-01
ZNF521 -7.62e-01
SLC16A11 2.63
TMEM87B -7.86e-01
CARMN 1.09
TRUB1 -8.52e-01
ADM 7.96e-01
RNF115 -7.98e-01
LOC151760 3.39
HIGD1A -9.81e-01
MS4A3 2.16
MGAT2 7.87e-01
PPA2 -6.48e-01
GUF1 -8.11e-01
GCOM1///POLR2M -7.26e-01
SLC2A4RG 1.36
MATR3 9.58e-01
CYP11A1 -2.70
PLEKHG3 7.95e-01
TCEB2 -7.34e-01
TCF4 -1.11
LOC285300 -1.11
LOC100507520 7.80e-01
DECR1 -7.35e-01
DNAJC3 1.06
TRMT1L -8.59e-01
IRAK2 1.21
CYB561 7.73e-01
SNX2 -6.38e-01
MSANTD4 -7.11e-01
PHLDA1 -1.26
TYMP 1.05
NAV1 8.93e-01
CHN2 -6.96e-01
TMEM109 8.27e-01
TMEM185A 7.64e-01
EPHB2 9.07e-01
SQLE 6.92e-01
LUC7L3 6.50e-01
HYOU1 7.77e-01
HIST2H2AA4///HIST2H2AA3 -7.60e-01
LRIG2 6.86e-01
TGIF1 1.09
TPST1 8.98e-01
SPTBN1 1.01
RGS4 -1.05
VEGFA 1.38
